sample	completeness	contamination	class	rep1_GR	rep2_GR	rep3_GR
CEx	88.06	6.24	Gammaproteobacteria	1.7316	1.9366	1.7282
CEx	57.43	6.21	Gammaproteobacteria	1.1869	1.5324	1.6749
CEx	99.19	1.81	Flavobacteriia	1.7358	1.8331	1.5570
CEx	90.52	2.99	Flavobacteriia	1.7679	1.6087	1.5417
CEx	58.5	9.48	Alphaproteobacteria	1.2464	2.5554	2.0005
CEx	51.18	3.45	Alphaproteobacteria	1.6876	1.9627	1.6504
CEx	79.17	7.19	Betaproteobacteria	1.9036	1.7247	1.4970
CEx	53.85	6.01	Gammaproteobacteria	1.9216	1.2633	2.5797
CEx	62.50	6.48	Gammaproteobacteria	2.2736	2.1005	1.2781
CEx	50.95	2.42	Alphaproteobacteria	4.3612	3.1541	2.7433
CEx	62.76	3.42	Alphaproteobacteria	1.1921	1.8058	1.4023
CEx	88.03	2.66	Alphaproteobacteria	1.6407	1.6745	1.7898
CEx	58.34	7.76	Gammaproteobacteria	1.7421	1.5541	3.0266
CEx	85.77	2.98	Alphaproteobacteria	1.4901	1.0867	1.7971
T1	51.01	7.66	Gammaproteobacteria	2.0079	1.6051	1.9482
T1	98.40	3.95	Gammaproteobacteria	1.4482	1.2838	2.0040
T1	54.99	6.71	Flavobacteriia	2.0866	1.8273	2.6695
T1	70.31	0.93	Thermoplasmata	1.8302	1.4547	1.4161
T1	56.08	2.26	Unassigned_Marinimicrobia	2.8057	1.7082	1.7981
T1	56.93	7.99	Flavobacteriia	1.7558	1.4077	1.4707
T1	71.45	3.96	Alphaproteobacteria	1.5806	1.4151	1.8073
T1	59.84	8.13	Gammaproteobacteria	2.4079	1.3788	1.6097
T1	64.34	6.69	Thermoplasmata	1.9818	1.1610	1.3809
T1	81.72	8.91	Gammaproteobacteria	1.5790	1.8024	1.6948
T1	91.35	5.80	Flavobacteriia	1.8208	1.7678	1.6166
T1	55.64	9.55	Flavobacteriia	2.5660	1.4415	1.6630
T1	50.97	7.43	Gammaproteobacteria	2.3357	1.2323	1.1315
T1	51.47	8.62	Gammaproteobacteria	1.3963	2.0485	1.6044
T1	52.25	6.93	Alphaproteobacteria	3.9526	3.9616	3.1795
T1	97.55	2.67	Gammaproteobacteria	1.7849	1.6649	1.6150
T1	79.64	3.91	Thermoplasmata	2.1098	1.5167	1.3988
T1	88.63	1.55	Gammaproteobacteria	2.1259	1.6658	1.0900
